People's Republic of China,333,1443497.378,9596961
India,51,1326093.247,3287263
Brazil,17,213317.639,8515767
Russia,15,146804.372,17075400
Turkey,14,84680.273,783562
Japan,13,125440,377972.28
United States of America,11,331449.281,9826675
South Korea,10,51466.201,100295
Pakistan,10,223773.7,881913
Nigeria,10,211400.708,923768
Mexico,9,124777.324,1972550
Iran,8,86758.304,1648195
Vietnam,7,96208.984,331690
Taiwan,6,23593.794,36193
Australia,5,24511.8,7692024
Colombia,5,49065.615,1141748
Venezuela,4,28515.829,912050
Egypt,4,94798.827,1010407.87
Canada,4,36991.981,9984670
Democratic Republic of the Congo,4,86790.567,2344858
Germany,4,83149.3,357587.77
Saudi Arabia,4,33000,2250000
Philippines,4,109035.343,343448
Ghana,3,32833.031,238535
Peru,3,29381.884,1285216
Argentina,3,47327.407,2780400
United Arab Emirates,3,9890.4,83600
Bangladesh,3,165775,147570
South Africa,3,60142.978,1221037
Myanmar,3,53370.609,676577.2
Kazakhstan,3,19002.586,2724900
Iraq,3,38274.618,437072
Cameroon,3,24053.727,475442
Angola,2,32866.27,1246700
Morocco,2,37076.584,446550
Mozambique,2,29668.834,801590
United Kingdom,2,67326.569,242495.406794
Serbia,2,7022.268,88499
Jordan,2,10428.241,89341
Syria,2,18499.181,185180
Sudan,2,40533.33,1886068
Italy,2,60317,301338
Thailand,2,66188.503,513119.5
Kenya,2,48468.138,581309
Ecuador,2,18000.062,255586.91
Bolivia,2,11051.6,1098581
Dominican Republic,2,10403.761,48670.82
Ukraine,2,41588.354,603550
Senegal,2,16876.72,196722
North Korea,1,25490.965,120540
Mongolia,1,3409.939,1564116
Afghanistan,1,37466.414,652230
Zambia,1,17094.13,752618
Zimbabwe,1,15178.979,390757
Uganda,1,47123.531,241038
Algeria,1,43900,2381741
Chad,1,15477.751,1284000
Yemen,1,28250.42,555000
Mali,1,20250.833,1240192
Tanzania,1,57310.019,947303
Republic of the Congo,1,5260.75,342000
Guinea,1,12717.176,245857
Liberia,1,5214.03,111369
Libya,1,6678.567,1759541
Mauritania,1,4614.974,1030700
Niger,1,21477.348,1267000
Poland,1,38382.576,312683
Uruguay,1,3456.75,176215
Georgia,1,3717.1,69700
Uzbekistan,1,34915.1,448978
Singapore,1,5866.139,719.1
Cambodia,1,16005.373,181035
Guatemala,1,17263.239,108889
Malaysia,1,32447.385,330290
Ivory Coast,1,24294.75,322463
Czech Republic,1,10516.707,78866
Austria,1,8979.894,83878.99
New Zealand,1,5118.7,268021
Kuwait,1,4600,17818
Hungary,1,9769.526,93011.4
Ethiopia,1,104957.438,1104300
Belarus,1,9255.524,207595
Cuba,1,11181.595,109884
Chile,1,19458,756102
Armenia,1,2930.45,29743.423459
Honduras,1,8303.771,112492
Qatar,1,2639.211,11437
Tunisia,1,11565.204,163610
Burkina Faso,1,20488,274200
Madagascar,1,25570.895,587295
Belgium,1,11584.008,30688
France,1,67749.632,643801
Romania,1,19053.815,238397
Azerbaijan,1,10145.212,86600
Spain,1,47415.75,505990
Bulgaria,1,7000.039,110993.6
Kyrgyzstan,1,6694.2,199951
Oman,1,4829.48,309500
Malawi,1,18622.104,118484
Indonesia,1,275439,1904570
Rwanda,1,13246.394,26338
Somalia,1,11031.386,637657
